CODINST,NOMBREINSTITUCION,CODIGOMUNICIPIO,NOMBREMUNICIPIO,DEPARTAMENTO,CALENDARIO,NATURALEZA,JORNADA,EVALUADOS,PROMLECTURACRITICA,PROMMATEMATICA,PROMSOCIALESYCIUDADANAS,PROMCIENCIASNATURALES,PROMINGLES,DESVLECTURACRITICA,DESVMATEMATICA,DESVSOCIALESYCIUDADANAS,DESVCIENCIASNATURALES,DESVINGLES,PERIODO
000018,COL ATENEO HORIZONTES,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,8,"55,375","53,375","52,75","52,75","58,375","7,94512429103535","7,96308447058766","8,18971480403491","6,86086208660607","6,92691438211437",54
000059,INST EDUC CEFA,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,458,"60,8056768558952","56,1484716157205","56,6681222707424","55,3340611353712","53,0349344978166","7,87341109533177","10,0558510276792","9,10785778822263","8,84907351481795","10,1448417488636",57
000075,INST EDUC SANTOS ANGELES CUSTODIOS,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,54,"53,7222222222222","49,2037037037037","49,3888888888889","49,4444444444444","50,1481481481481","9,70395108533976","10,8443179272271","11,3110676583746","10,6976750545306","12,0320443335936",50
000083,COL BARBARA MICARELLI,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,31,"59,6451612903226","56,4193548387097","57,7096774193548","57,3225806451613","60,8387096774194","6,22654739587826","7,87728461484196","9,02660345270984","6,41034110779447","9,78126363408992",58
000091,COL BETHLEMITAS,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,48,"67,9166666666667","71,1666666666667","64,6041666666667","64,2916666666667","75,6041666666667","6,71560055245559","8,62044411486953","7,84352174302675","7,20212242161202","6,95804932108202",68
000125,COL CALASANZ FEMENINO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,55,"62,9090909090909","62,6","61,6545454545455","61,6909090909091","64,4181818181818","8,54242728813444","10,6398969641349","9,91672396214668","8,40386314886885","11,8660594555803",62
000141,COL CALASANZ,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,111,"65,7477477477477","69,7477477477477","65,1351351351351","67,009009009009","72,7837837837838","7,13693143695456","7,78514724385593","9,78076636380763","8,20032759378384","8,26537730030892",67
000174,COL CORAZONISTA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,92,"69,75","73,9239130434783","68,7826086956522","68,7065217391304","75,9239130434783","7,49743545897785","7,30231589886804","8,38736109196191","6,95754479159098","7,0745383038143",71
000190,COL DE LA COMPANIA DE MARIA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,106,"67,5660377358491","72,1792452830189","67,3018867924528","67,9433962264151","75,8962264150943","6,91584635584178","6,3782325807036","7,74986305417654","7,85321309877955","8,72427292130358",69
000208,COL DE LA PRESENTACION - MEDELLIN,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,57,"64,1228070175439","60,8421052631579","62,2456140350877","60,2105263157895","69,0175438596491","7,7484334256273","10,5471551236818","9,63120060338568","8,97165544945633","10,6410445715604",62
000216,COL DE MARIA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,19,"64,4736842105263","60,7894736842105","65,0526315789474","60,5263157894737","57,4210526315789","7,36635309327057","9,89713172460936","6,73691063561635","6,51808101491222","12,3122152058374",62
000232,COL EUCARISTICO DE LA MILAGROSA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,37,"59,2162162162162","55,3243243243243","55,4594594594595","54,8378378378378","60,4054054054054","7,03220818462821","8,57338923664399","9,58759208153548","7,67576819721762","8,53574008852536",57
000240,INST FERRINI - SEDE ROBLEDO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,107,"60,196261682243","56,7383177570093","57,196261682243","55,8317757009346","63,0280373831776","9,68215558832519","12,0973538729867","11,052566723443","9,91329008967484","14,0956690417461",58
000257,INST FERRINI - SEDE ROBLEDO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,TARDE,39,"53,2820512820513","47,8461538461538","49,3333333333333","49,5384615384615","50,1794871794872","8,29377927297802","10,5918003577208","9,12870929175277","9,46696792966874","9,18486109934739",50
000281,COMUNIDAD COLEGIO DE JESUS MARIA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,60,"68,6166666666667","69,0333333333333","67,8666666666667","65,8","78,6833333333333","5,70783483740319","7,72617533523117","7,30095574580889","6,65569718998286","7,15326562064824",69
000315,COL DE LA INMACULADA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,94,"63,3723404255319","60,7021276595745","60,6808510638298","59,5212765957447","61,7021276595745","7,57327508669653","9,40353375265337","8,91442321204159","6,58399611211858","11,91080632251",61
000356,COL MADRE ANTONIA CERINI,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,24,"55,1666666666667","52,9583333333333","53,75","52,9583333333333","57,8333333333333","9,06817975439233","9,89281323098685","9,41899099183919","7,95902095064171","12,7131108862385",54
000364,COL MARIA AUXILIADORA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,46,"63,9782608695652","65,2391304347826","64,695652173913","63,9347826086957","67,3260869565217","7,60552176728573","7,88017140989175","6,58911413778612","6,10064540816259","9,13370886776886",65
000380,COL MILIT JOSE MARIA CORDOBA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,60,"54,4","53,2833333333333","53,25","53,8333333333333","53,7166666666667","8,24662231832021","8,33837700475616","9,45394725202483","8,61840102096625","9,15236686377024",54
000398,COL NUESTRA MADRE DE LAS MERCEDES,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,21,"67,3809523809524","68,1428571428571","65,5238095238095","64,8095238095238","69,6190476190476","7,01766478592552","8,21149020754281","8,61753472646933","7,13876073012009","13,1661542998561",67
000406,COL NUESTRA SENORA DEL ROSARIO DE CHIQUINQUIRA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,36,"62,8333333333333","60,5833333333333","61,8611111111111","60,2222222222222","64,8333333333333","7,8139070161567","10,739446647091","10,5021161888661","7,49137069705104","9,8864987302309",62
000422,COL NUESTRA SENORA DE LA PROVIDENCIA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,14,"57,6428571428571","55,0714285714286","57,6428571428571","56,6428571428571","65,9285714285714","8,37218051605474","11,9129166209448","10,2176855941597","10,3001653672845","13,8423224247194",57
000430,COL PALERMO DE SAN JOSE,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,42,"61,1428571428571","58,6666666666667","58,4761904761905","56,9285714285714",65,"9,47029097492922","13,1012318666133","11,656125983295","11,0682866172283","11,122379110297",59
000448,COL SAGRADOS CORAZONES,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA,19,"62,4736842105263","59,5263157894737","61,7368421052632","58,2105263157895","69,7368421052632","8,30239872334517","12,3709714926725","12,6615871625039","11,0884271370772","10,1753629761255",61
